주차장명,주차장구분,주차장유형,소재지도로명주소,주차구획수(대),관리기관명,관리기관 전화번호
농성1동주거환경개선지구,공영주차장,노외,농성동69-1,7,서구청,062-360-7810
농성1동주거환경개선지구,공영주차장,노외,농성동74-12,25,서구청,062-360-7810
영화아파트 앞 공영주차장,공영주차장,노외,화정동100,20,서구청,062-360-7810
덕흥동주거환경개선지구,공영주차장,노외,덕흥동570,25,서구청,062-360-7810
덕흥동주거환경개선지구,공영주차장,노외,덕흥동808-1,17,서구청,062-360-7810
화정동 공영주차장,공영주차장,노외,화정동1705,96,서구청,062-360-7810
서창동 주거환경개선지구,공영주차장,노외,서창동555-1,14,서구청,062-360-7810
상록독서관 옥외주차장,공영주차장,노외,농성동311-11,9,서구청,062-360-7810
양동 공영주차장,공영주차장,노외,양동80-1,8,서구청,062-360-7810
화정4동 공영주차장,공영주차장,노외,화정동916-9,31,서구청,062-360-7810
신학대 공영주차장,공영주차장,노외,쌍촌동452-34,10,서구청,062-360-7810
화정2동 공영주차장,공영주차장,노외,화정동950,15,서구청,062-360-7810
상무2동 공영주차장,공영주차장,노외,쌍촌동511,30,서구청,062-360-7810
양3동 공영주차장,공영주차장,노외,양동437-11,4,서구청,062-360-7810
화정3동 공영주차장,공영주차장,노외,화정동842-6,24,서구청,062-360-7810
계수마을 공영주차장,공영주차장,노외,쌍촌동1328-9,16,서구청,062-360-7810
농성동 공영주차장,공영주차장,노외,농성동109,169,서구청,062-360-7810
농성1동 공영주차장,공영주차장,노외,농성동125-13,14,서구청,062-360-7810
상무시민공원 공영주차장,공영주차장,노외,치평동1162,219,서구청,062-360-7810
신암근린공원 공영주차장,공영주차장,노외,풍암동1126,9,서구청,062-360-7810
풍암생활체육공원,공영주차장,노외,풍암동36,65,서구청,062-360-7810
발산마을 공영주차장,공영주차장,노외,양동438-79,13,서구청,062-360-7810
금호동 공영주차장,공영주차장,노외,금호동764,50,서구청,062-360-7810
치평동 공영주차장,공영주차장,노외,치평동1308-1,52,서구청,062-360-7810
서부시장 공영주차장,공영주차장,노외,화정동779-1,39,서구청,062-360-7810
닭전길시장 공영주차장,공영주차장,노외,양동5-31,85,서구청,062-360-7810
양동산업용품주차장,공영주차장,노외,양동96-1,42,서구청,062-360-7810
양동 복개상가상부 주차장,공영주차장,노외,양동441상부,85,서구청,062-360-7810
양동 복개상가하부 주차장,공영주차장,노외,양동441하부,300,서구청,062-360-7810
쌍촌동 공영주차장,공영주차장,노외,쌍촌동896,25,서구청,062-360-7810
유촌동 주거환경개선지구(1),공영주차장,노외,유촌동441,12,서구청,062-360-7810
유촌동 주거환경개선지구(2),공영주차장,노외,유촌동525-2,10,서구청,062-360-7810
유촌동 주거환경개선지구(3),공영주차장,노외,유촌동556-2,6,서구청,062-360-7810
양동 주거환경개선지구,공영주차장,노외,양동287-7,6,서구청,062-360-7810
오천마을재생프로젝트,공영주차장,노외,양동374-1,9,서구청,062-360-7810
화정2동 공영주차장(2),공영주차장,노외,화정동1551,19,서구청,062-360-7810
느티나무 공영주차장,공영주차장,노외,치평동1192,33,서구청,062-360-7810
덕흥동 공영주차장,공영주차장,노외,덕흥동899-2,8,서구청,062-360-7810
상무2동 우리마을 공영주차장,공영주차장,노외,쌍촌동524-2,5,서구청,062-360-7810
동천동 공영주차장,공영주차장,노외,동천동605,44,서구청,062-360-7810
효사어린이공원 공영주차장,공영주차장,노외,쌍촌동531-5,48,서구청,062-360-7810
양동전통시장 연합 공영주차장,공영주차장,노외,양동5-29,148,서구청,062-360-7810
염주 공영주차장,공영주차장,노외,화정동844-17,12,서구청,062-360-7810
쌍촌 공영주차장,공영주차장,노외,쌍촌동967-2,48,서구청,062-360-7810
계수마을 제2공영주차장,공영주차장,노외,쌍촌동1324-1,20,서구청,062-360-7810
야숙 주차장,민영주차장,노외,광주광역시 서구 광천동 117 - 1,17,,
아델리안주차장,민영주차장,노외,광주광역시 서구 광천동 42-1,43,,
지에스타임즈 광천동 주차장,민영주차장,노외,"광주광역시 서구 광천동 52-7 , 9, 10, 53-1, 2",100,,
시엘병원주차장,민영주차장,노외,광주광역시 서구 광천동 61-3,29,,
성동빌딩주차장,민영주차장,노외,광주광역시 서구 광천동 650 - 193,7,,
금호 주차장,민영주차장,노외,광주광역시 서구 금호동 760,30,,
금호빌딩 주차장,민영주차장,노외,광주광역시 서구 금호동 799,92,,
황계 주차장,민영주차장,노외,광주광역시 서구 농성동 155 - 9,20,,
농성 주차장,민영주차장,노외,광주광역시 서구 농성동 156 - 19,29,,
신진 주차장,민영주차장,노외,광주광역시 서구 농성동 166 - 12,23,,
우리주차장(박복례),민영주차장,노외,광주광역시 서구 농성동 393 - 30,40,,
삼익주차장,민영주차장,노외,"광주광역시 서구 농성동 415-57,61번지",29,,
왕갈비주차장,민영주차장,노외,광주광역시 서구 농성동 417-35,63,,
대인 주차장,민영주차장,노외,광주광역시 서구 농성동 418 - 19,48,,
꿈의궁전 웨딩홀 부설주차장,민영주차장,노외,광주광역시 서구 농성동 418-7,78,,
우정 주차장,민영주차장,노외,광주광역시 서구 농성동 420 - 11,12,,
강남주차장,민영주차장,노외,광주광역시 서구 농성동 456 - 1,50,,
천관 주차장,민영주차장,노외,광주광역시 서구 농성동 469 - 2,20,,
광주 주차장,민영주차장,노외,광주광역시 서구 농성동 622 - 18,27,,
서부주차장,민영주차장,노외,광주광역시 서구 농성동 622 - 2,20,,
소쇄원 주차장,민영주차장,노외,광주광역시 서구 농성동 629 - 5,15,,
천도 주차장,민영주차장,노외,광주광역시 서구 농성동 635 - 12,19,,
동양주차장,민영주차장,노외,광주광역시 서구 농성동 64-4,30,,
농성주차장,민영주차장,노외,광주광역시 서구 농성동 644 - 12,14,,
인성주차장,민영주차장,노외,광주광역시 서구 농성동 645-7번지,12,,
농성 주차장,민영주차장,노외,광주광역시 서구 농성동 648 - 4,30,,
친절주차장,민영주차장,노외,광주광역시 서구 농성동 649 - 32,10,,
공간 주차장,민영주차장,노외,광주광역시 서구 농성동 651 - 11,10,,
고향주차장,민영주차장,노외,광주광역시 서구 농성동 656 - 7,26,,
주공 주차장,민영주차장,노외,광주광역시 서구 농성동 666 - 2,20,,
도시철도공사 주차장,민영주차장,노외,광주광역시 서구 마륵동 165-27,288,,
송광주차장,민영주차장,노외,광주광역시 서구 매월동 331-7,100,,
필승주차장,민영주차장,노외,광주광역시 서구 매월동 663 - 4,131,,
㈜코레일개발주차장(서광주역),민영주차장,노외,광주광역시 서구 매월동산 191-16,144,,
환영주차장,민영주차장,노외,광주광역시 서구 서창동 343,12,,
광주 주차장,민영주차장,노외,광주광역시 서구 쌍촌동 282 - 6,12,,
삼정주차장,민영주차장,노외,광주광역시 서구 쌍촌동 948 - 2,15,,
서광 주차장,민영주차장,노외,광주광역시 서구 쌍촌동 958 - 16,15,,
한국주차장,민영주차장,노외,광주광역시 서구 쌍촌동 964 - 9,18,,
현대유료주차장,민영주차장,노외,광주광역시 서구 쌍촌동 970 - 21,22,,
해남주차장,민영주차장,노외,광주광역시 서구 쌍촌동 971 - 22,3,,
선양 주차장,민영주차장,노외,광주광역시 서구 쌍촌동 981 - 1,24,,
운천주차장,민영주차장,노외,광주광역시 서구 쌍촌동 981-29,16,,
현대주차장,민영주차장,노외,광주광역시 서구 쌍촌동 981-6(981-16),15,,
대광주차장(김진관),민영주차장,노외,광주광역시 서구 쌍촌동 986 - 37,15,,
광신 주차장,민영주차장,노외,광주광역시 서구 쌍촌동 989 - 11,15,,
해태주차장,민영주차장,노외,광주광역시 서구 쌍촌동 991 - 6,8,,
무등 주차장,민영주차장,노외,광주광역시 서구 양동 131,25,,
원광 주차장,민영주차장,노외,광주광역시 서구 양동 268 - 11,26,,
동진 주차장,민영주차장,노외,광주광역시 서구 양동 276 - 37,15,,
광진 주차장,민영주차장,노외,광주광역시 서구 양동 287 - 1,30,,
서부주차장,민영주차장,노외,광주광역시 서구 양동 307-55,11,,
우리 주차장,민영주차장,노외,광주광역시 서구 양동 315 - 2,11,,
흥진 주차장,민영주차장,노외,광주광역시 서구 양동 319,35,,
양동 주차장,민영주차장,노외,광주광역시 서구 양동 319 - 4,16,,
광남로 주차장,민영주차장,노외,광주광역시 서구 양동 43 - 1,32,,
호남 주차장,민영주차장,노외,광주광역시 서구 양동 80 - 4,15,,
드림 주차장,민영주차장,노외,광주광역시 서구 치평동 1002 - 8,22,,
다빈치모텔주차장,민영주차장,노외,광주광역시 서구 치평동 1141-16번지,7,,
에이스모텔주차장,민영주차장,노외,광주광역시 서구 치평동 1141-22,13,,
김대중 컨벤션센타 제1주차장,민영주차장,노외,광주광역시 서구 치평동 1156,537,,
상무주차장(지상주차장),민영주차장,노외,광주광역시 서구 치평동 1202-1,168,,
상무주차장(지하주차장),민영주차장,노외,광주광역시 서구 치평동 1204,525,,
상무스타박스주차장,민영주차장,노외,광주광역시 서구 치평동 1211,28,,
영효빌딩주차장,민영주차장,노외,광주광역시 서구 치평동 1217 - 9,287,,
해미연주차장,민영주차장,노외,"광주광역시 서구 치평동 1233-11, 1234-3",38,,
봉령 주차장,민영주차장,노외,광주광역시 서구 치평동 1237 - 9,141,,
오성주차장,민영주차장,노외,광주광역시 서구 치평동 1240 - 2,22,,
옥천주차장(푸른주차빌딩주차장),민영주차장,노외,광주광역시 서구 치평동 1244 - 3,84,,
㈜이씨씨 서광주,민영주차장,노외,광주광역시 서구 치평동 1251-2번지,31,,
스마일주차장,민영주차장,노외,광주광역시 서구 치평동 1258-6,82,,
국토주차장,민영주차장,노외,광주광역시 서구 치평동 1294-19,13,,
고명 밀레니엄 주차장,민영주차장,노외,광주광역시 서구 풍암동 1114,87,,
신진 주차장,민영주차장,노외,광주광역시 서구 화정동 100 - 1,36,,
광주 신세계 제2,민영주차장,노외,광주광역시 서구 화정동 12 - 13,80,,
신세계백화점제2주차장,민영주차장,노외,"광주광역시 서구 화정동 12-36,12-51,56",170,,
광주 주차장,민영주차장,노외,광주광역시 서구 화정동 1405,17,,
우리 주차장,민영주차장,노외,광주광역시 서구 화정동 146 - 92,40,,
한국 주차장,민영주차장,노외,광주광역시 서구 화정동 180 - 41,51,,
대경 주차장,민영주차장,노외,광주광역시 서구 화정동 23 - 14,33,,
세주주차장,민영주차장,노외,광주광역시 서구 화정동 23 - 147,54,,
부국 주차장,민영주차장,노외,광주광역시 서구 화정동 23 - 196,10,,
화정주차장,민영주차장,노외,광주광역시 서구 화정동 23 - 259,17,,
무등주차장,민영주차장,노외,광주광역시 서구 화정동 23 - 38,44,,
로드주차장,민영주차장,노외,광주광역시 서구 화정동 23-18,33,,
동남 주차장,민영주차장,노외,광주광역시 서구 화정동 312 - 2,16,,
운암주차장,민영주차장,노외,광주광역시 서구 화정동 334 - 122,6,,
현대주차장,민영주차장,노외,광주광역시 서구 화정동 532-13번지,35,,
목장과 어장 주차장,민영주차장,노외,광주광역시 서구 화정동 6 - 4,63,,
한라주차장,민영주차장,노외,광주광역시 서구 화정동 616 - 2,25,,
동광주차장,민영주차장,노외,광주광역시 서구 화정동 769 - 2,15,,
한국 주차장,민영주차장,노외,광주광역시 서구 화정동 776 - 2,17,,
화담주차장,민영주차장,노외,광주광역시 서구 화정동 781-40,13,,
샤론 주차장,민영주차장,노외,광주광역시 서구 화정동 783 - 21,29,,
화정주차장,민영주차장,노외,광주광역시 서구 화정동 784 - 13,17,,
타워펠리스유료주차장,민영주차장,노외,광주광역시 서구 치평동 1298-1,43,,
새우리주차장,민영주차장,노외,광주광역시 서구 화정동 179-14,31,,
미래로21병원주차장,민영주차장,노외,광주광역시 서구 화정동 1082,92,,
태영빌딩주차장,민영주차장,노외,광주광역시 서구 광천동 57,4,,
LK주차장,민영주차장,노외,광주광역시 서구 쌍촌동 973-9,21,,
드림주차장,민영주차장,노외,광주광역시 서구 화정동 784-3 외 3필지,17,,
화정 주차장,민영주차장,노외,광주광역시 서구 화정동 23-191,30,,
비케이씨주차장1,민영주차장,노외,"광주광역시 서구 광천동 57-6,7,8",13,,
함께 주차장,민영주차장,노외,광주광역시 서구 농성동 481-7,50,,
명품 주차장,민영주차장,노외,광주광역시 서구 치평동 1247-2,150,,
병원 주차장,민영주차장,노외,광주광역시 서구 서구 화정동 768-18,5,,
농성주차장,민영주차장,노외,광주광역시 서구 치평동 1244-2,11,,
편한주차장,민영주차장,노외,광주광역시 서구 치평동 1244-2,21,,
성준빌딩주차장,민영주차장,노외,광주광역시 서구 화정동  332-18,21,,
유스퀘어문화관주차장,민영주차장,노외,광주광역시 서구 광천동 49-1(무진대로 904),427,,
우리들주차장,민영주차장,노외,광주광역시 서구 농성동 393-55,144,,
이마트노외주차장,민영주차장,노외,광주광역시 서구 화정동 12-67,179,,
비케이씨주차장2,민영주차장,노외,"광주광역시 서구 광천동 57, 57-1, 56-4",11,,
컨벤션주차장,민영주차장,노외,광주광역시 서그 치평동 1278-9,15,,
농성주차장,민영주차장,노외,광주광역시 서구 농성동 641-24,48,,
의사회주차장,민영주차장,노외,광주광역시 서구 치평동 1209-1,12,,
륜정주차장,민영주차장,노외,"광주광역시 서구 농성동 631-29, 631-39",16,,
광주원광신협 주차장,민영주차장,노외,"광주광역시 서구 금호동 765-4, 765-17",10,,
운천주차장,민영주차장,노외,"광주광역시 서구 쌍촌동 981-10, 981-71, 981-72, 981-101",18,,
와이마트 주차장,민영주차장,노외,광주광역시 서구 금호동 240-17,17,,
로뎀주차장,민영주차장,노외,광주광역시 서구 쌍촌동 1002-46,36,,
"㈜코레일개발 효천역 A,B",민영,노외,광주광역시 남구 임암동 631-8,200,코레일,062-674-1457
양림동노상1,공영,노상,서서평길2 ~ 서서평길26,24,남구청 교통지도과,062-607-4231
양림동노상2,공영,노상,천변좌로450~천변좌로450번길16,23,남구청 교통지도과,062-607-4232
방림1동노상,공영,노상,봉선중앙로134번길(16~33-2),17,남구청 교통지도과,062-607-4233
방림2동노상,공영,노상,천변좌로566번다길(9~9-1),6,남구청 교통지도과,062-607-4234
봉선1동노상,공영,노상,봉선중2길(4~10),17,남구청 교통지도과,062-607-4235
봉선1동노상1,공영,노상,유안초등북2길,16,남구청 교통지도과,062-607-4236
봉선1동노상2,공영,노상,대남대로117번길(27~41),33,남구청 교통지도과,062-607-4237
봉선1동노상3,공영,노상,봉선중앙로107번길,14,남구청 교통지도과,062-607-4238
봉선1동노상4,공영,노상,봉선로51번길(26-2~42),28,남구청 교통지도과,062-607-4239
봉선1동노상5,공영,노상,봉선1로17번길(12~17),19,남구청 교통지도과,062-607-4240
봉선1동노상6,공영,노상,유안초등북길(9-1~15),12,남구청 교통지도과,062-607-4241
봉선2동노상7,공영,노상,무등3차302동~330동,59,남구청 교통지도과,062-607-4242
봉선2동노상8,공영,노상,봉선로79번길(7~25-1),27,남구청 교통지도과,062-607-4243
월산동노상1,공영,노상,월산로68번길(8~16-2),11,남구청 교통지도과,062-607-4244
월산동노상2,공영,노상,덕림남길(12~25-2),23,남구청 교통지도과,062-607-4245
월산동노상3,공영,노상,월산로132번길,19,남구청 교통지도과,062-607-4246
월산4동노상1,공영,노상,군분로120번길(5-1~8-1),4,남구청 교통지도과,062-607-4247
월산4동노상2,공영,노상,대남대로410번길9~대남대로420번길10-2,12,남구청 교통지도과,062-607-4248
월산4동노상3,공영,노상,대남대로398번길8~금화로469번길7-1,8,남구청 교통지도과,062-607-4249
월산4동노상4,공영,노상,군분로120번길5-3~군분로140번길6-2,16,남구청 교통지도과,062-607-4250
월산4동노상5,공영,노상,군분로119번길6-3~군분로169번길3,38,남구청 교통지도과,062-607-4251
월산4동노상6,공영,노상,군분로119번길(1-1~18),21,남구청 교통지도과,062-607-4252
월산4동노상7,공영,노상,대남대로372번길15~대남대로372번안길20-1,6,남구청 교통지도과,062-607-4253
월산4동노상8,공영,노상,군분로119번길17~금화로387-2,14,남구청 교통지도과,062-607-4254
월산4동노상9,공영,노상,금화로386번길1,4,남구청 교통지도과,062-607-4255
월산4동노상10,공영,노상,월산로151번안길(2~16),28,남구청 교통지도과,062-607-4256
월산4동노상11,공영,노상,대남대로372번안길4~,39,남구청 교통지도과,062-607-4257
월산4동노상12,공영,노상,금화로421번길23~화정로280번길15,20,남구청 교통지도과,062-607-4258
월산4동노상13,공영,노상,금화로421번길(3~12),11,남구청 교통지도과,062-607-4259
월산5동노상1,공영,노상,금화로422번길(16~71),24,남구청 교통지도과,062-607-4260
월산5동노상1,공영,노상,금화로422번길(16~24),3,남구청 교통지도과,062-607-4261
월산5동노상2,공영,노상,금화로422번길(26~38),12,남구청 교통지도과,062-607-4262
월산5동노상3,공영,노상,금화로422번길(40~48-2),4,남구청 교통지도과,062-607-4263
월산5동노상4,공영,노상,금화로422번길(50~57),3,남구청 교통지도과,062-607-4264
월산5동노상5,공영,노상,금화로422번길(60~71),2,남구청 교통지도과,062-607-4265
월산5동노상6,공영,노상,군분로78~대남대로329,17,남구청 교통지도과,062-607-4266
월산5동노상7,공영,노상,군분로77번길(3~10),6,남구청 교통지도과,062-607-4267
월산5동노상8,공영,노상,군분로65번길(4-2~9),10,남구청 교통지도과,062-607-4268
백운1동노상1,공영,노상,중앙로50번길4~독립로102-1,9,남구청 교통지도과,062-607-4269
백운1동노상2,공영,노상,백운로34번길5-3~백운로44번길6-2,5,남구청 교통지도과,062-607-4270
백운1동노상3,공영,노상,백운로26~백운로26번길20,23,남구청 교통지도과,062-607-4271
백운1동노상4,공영,노상,진다리로24번길(21~2),22,남구청 교통지도과,062-607-4272
백운2동노상1,공영,노상,독립로10번길(54~63),9,남구청 교통지도과,062-607-4273
백운2동노상2,공영,노상,백양로39번길10~독립로10번길52-1,13,남구청 교통지도과,062-607-4274
백운2동노상3,공영,노상,백양로17번길9~독립로10번길13,7,남구청 교통지도과,062-607-4275
백운2동노상4,공영,노상,독립로10번길22~독립로10번길40,10,남구청 교통지도과,062-607-4276
백운2동노상5,공영,노상,백양로17번길4~백양로61번길1,20,남구청 교통지도과,062-607-4277
백운2동노상6,공영,노상,백운동645-13~649-14,21,남구청 교통지도과,062-607-4278
백운2동노상7,공영,노상,백양로(7~73),30,남구청 교통지도과,062-607-4279
백운2동노상8,공영,노상,백양로(89~77-1),13,남구청 교통지도과,062-607-4280
주월1동노상1,공영,노상,서문대로795번안길(7~14-1),33,남구청 교통지도과,062-607-4281
주월1동노상2,공영,노상,서문대로795번안길(1~5),40,남구청 교통지도과,062-607-4282
주월1동노상3,공영,노상,서문대로795번안길6~회서로51번길16-2,30,남구청 교통지도과,062-607-4283
주월1동노상3,공영,노상,회서로51번길(4-1~12-1),19,남구청 교통지도과,062-607-4284
주월1동노상4,공영,노상,서문대로823번길(7-1~7-15),11,남구청 교통지도과,062-607-4285
주월1동노상5,공영,노상,서문대로801번길(2~23),20,남구청 교통지도과,062-607-4286
주월1동노상6,공영,노상,서문대로795번길(6~20-1),24,남구청 교통지도과,062-607-4287
주월1동노상7,공영,노상,회서로55번길(1~16-1),20,남구청 교통지도과,062-607-4288
주월1동노상8,공영,노상,회서로52번길(11~17),26,남구청 교통지도과,062-607-4289
주월1동노상9,공영,노상,서문대로749번라길(28~18),15,남구청 교통지도과,062-607-4290
주월1동노상10,공영,노상,금당로(91~116),46,남구청 교통지도과,062-607-4291
주월1동노상11,공영,노상,광복마을6길(16~26-2),5,남구청 교통지도과,062-607-4292
주월1동노상12,공영,노상,서문대로749번가길(13~24),37,남구청 교통지도과,062-607-4293
주월1동노상13,공영,노상,광복마을8길(2~6-1),9,남구청 교통지도과,062-607-4294
주월1동노상13,공영,노상,대남대로181번길(31-1~31-5),5,남구청 교통지도과,062-607-4295
주월1동노상14,공영,노상,대남대로181번길30~봉선로25번길11-1,7,남구청 교통지도과,062-607-4296
주월1동노상15,공영,노상,대남대로193번길(9~13),6,남구청 교통지도과,062-607-4297
주월2동노상1,공영,노상,군분로65번길(12~28),14,남구청 교통지도과,062-607-4298
주월2동노상2,공영,노상,봉주5길14~봉주길24,11,남구청 교통지도과,062-607-4299
주월2동노상3,공영,노상,봉주5길(15~22),12,남구청 교통지도과,062-607-4300
진월동노상4,공영,노상,광복마을길69~광복마을5길20,11,남구청 교통지도과,062-607-4301
진월동노상5,공영,노상,금당로(80~87),15,남구청 교통지도과,062-607-4302
진월동노상6,공영,노상,진월동316-7~312-15,43,남구청 교통지도과,062-607-4303
진월동노상7,공영,노상,광복마을5길40~서문대로749번마길26,36,남구청 교통지도과,062-607-4304
송암동노상1,공영,노상,서문대로473번길19,15,남구청 교통지도과,062-607-4305
(구)양림동주민센터,공영,노외,남구 양림동 93-33번지,7,남구청 교통지도과,062-607-4306
방림2동공영주차장,공영,노외,남구 방림동 2-53번지,17,남구청 교통지도과,062-607-4307
유안근린공원공영주차장,공영,노외,남구 봉선동 134번지,101,남구청 교통지도과,062-607-4308
서동공영주차장,공영,노외,남구 서동 66-13번지,8,남구청 교통지도과,062-607-4309
통샘공영주차장,공영,노외,남구 서동 147-22번지,26,남구청 교통지도과,062-607-4310
월산동공영주차장,공영,노외,남구 월산동 187-11번지,6,남구청 교통지도과,062-607-4311
월산4동공영주차장,공영,노외,남구 월산동 948-15번지,14,남구청 교통지도과,062-607-4312
수박등로공영주차장,공영,노외,남구 월산동 614-4번지,20,남구청 교통지도과,062-607-4313
백운1동공영주차장,공영,노외,남구 백운동 604-33번지,28,남구청 교통지도과,062-607-4314
백운2동공영주차장,공영,노외,남구 백운동 621-19번지,8,남구청 교통지도과,062-607-4315
(구)보훈병원주차장,공영,노외,남구 주월동 1205-3번지 일원,113,남구청 교통지도과,062-607-4316
부엉이 주차장,공영,노외,남구 주월동 486-9번지,11,남구청 교통지도과,062-607-4317
봉선1동공영주차장,공영,노외,남구 봉선동 1118-2번지,36,남구청 교통지도과,062-607-4318
주월동공영주차장,공영,노외,남구 주월동 974-145번지 일원,57,남구청 교통지도과,062-607-4319
압촌동공영주차장,공영,노외,남구 압촌동 90-7번지 일원,19,남구청 교통지도과,062-607-4320
봉선시장 공영주차장,공영,노외,남구 봉선동 997-5번지,105,남구청 교통지도과,062-607-4321
무등시장공영주차장,공영,노외,남구 주월동 974-83번지 일원,115,남구청 교통지도과,062-607-4322
진월동공영주차장,공영,노외,남구 진월동 330-1번지,61,남구청 교통지도과,062-607-4323
백운동공영주차장,공영,노외,남구 백운동 33-27번지 일원,12,남구청 교통지도과,062-607-4324
방림동 공영주차장,공영,노외,남구 방림동 71-7번지,13,남구청 교통지도과,062-607-4325
월산5동 공영주차장,공영,노외,남구 월산동 1033-41번지 일원,23,남구청 교통지도과,062-607-4326
효덕IC공영주차장,공영,노외,남구 송하동 29-2번지,109,남구청 교통지도과,062-607-4327
양림역사문화마을 제1 공영주차장,공영,노외,남구 양림동 서서평길 7,184,남구청 교통지도과,062-607-4328
광주향교공영주차장,공영,노외,남구 서동 154번지 일원,20,남구청 교통지도과,062-607-4329
방림한국공영주차장,공영,노외,남구 방림동 572번지,12,남구청 교통지도과,062-607-4330
사직동 공영주차장,공영,노외,남구 사동 92-1 번지,40,남구청 교통지도과,062-607-4331
지석동현대공영주차장,공영,노외,지석동 507번지,22,남구청 교통지도과,062-607-4332
남양,민영,노외,광주광역시 남구 대남대로149번길 14,20,,
대흥,민영,노외,광주광역시 남구 덕림남길 43,15,,
태호,민영,노외,광주광역시 남구 효우2로26번길 10,48,,
덕림,민영,노외,광주광역시 남구 독립로 164-1,20,,
서울주차장,민영,노외,광주광역시 남구 월산동 919-8,15,,
서울,민영,노외,광주광역시 남구 수박등로5번길 17-1,14,,
백두,민영,노외,광주광역시 남구 대남대로 330,19,,
서광,민영,노외,광주광역시 남구 백운동 78-2,15,,
효천,민영,노외,광주광역시 남구남구 임암동 858,52,,
반석,민영,노외,광주광역시 남구 회재로1293번길 6,17,,
명성,민영,노외,광주광역시 남구 서문대로824번길 11,13,,
현대,민영,노외,광주광역시 남구 광복마을길 15,28,,
용봉천 복개지 공영주차장,공영,노상,광주광역시 북구 운암동 99 ,62,북구시설관리공단 ,062-524-0825
동운고가 밑 공영주차장,공영,노상,광주광역시 북구 누문동 300 외 1필지,18,북구시설관리공단 ,062-524-0825
국제도덕협회 앞 공영주차장,공영,노상,광주광역시 북구 신안동 159,82,북구시설관리공단 ,062-524-0825
광주역경양천 공영주차장,공영,노상,광주광역시 북구 중흥동 740-4 외 1필지,45,북구시설관리공단 ,062-524-0825
광주역관사 앞 공영주차장,공영,노외,광주광역시 북구 문흥동 1010-4,49,북구시설관리공단 ,062-524-0825
문흥2동주민센터 공영주차장,공영,노외,광주광역시 북구 일곡동 842-1,79,북구시설관리공단 ,062-524-0825
일곡지구 킴스마트 공영주차장,공영,노외,광주광역시 북구 오치동 1037-2 외 2필지,62,북구시설관리공단 ,062-524-0825
북부소방서 옆 공영주차장,공영,노외,광주광역시 북구 오치동 1021-6,53,북구시설관리공단 ,062-524-0825
우산중학교 앞 공영주차장,공영,노외,광주광역시 북구 문흥동 957-1,40,북구시설관리공단 ,062-524-0825
문정초교 앞 공영주차장,공영,노외,광주광역시 북구 삼각동 809-8,21,북구시설관리공단 ,062-524-0825
삼각초교 앞 공영주차장,공영,노외,광주광역시 북구 중흥동 651-3,46,북구시설관리공단 ,062-524-0825
건축자재의 거리 공영주차장,공영,노외,광주광역시 북구 임동 94-68,28,북구시설관리공단 ,062-524-0825
임동 공영주차장,공영,노외,광주광역시 북구 신안동 120-2,19,북구시설관리공단 ,062-524-0825
신안동 공영주차장,공영,노외,광주광역시 북구 운암동 95,56,북구시설관리공단 ,062-524-0825
운암어린이공원지하 공영주차장,공영,노외,광주광역시 북구 중흥동 358-3,201,북구시설관리공단 ,062-524-0825
효죽1공영주차장,공영,노외,광주광역시 북구 본촌동 2931,28,북구시설관리공단 ,062-524-0825
본촌동 공영주차장,공영,노외,광주광역시 북구 삼각동 산 148-1,46,북구시설관리공단 ,062-524-0825
일곡엘리체 공영주차장,공영,노외,광주광역시 북구 삼각동 781-3,33,북구시설관리공단 ,062-524-0825
삼각동 공영주차장,공영,노외,광주광역시 북구 연제동 1026-1,110,북구시설관리공단 ,062-524-0825
첨단산단 완충녹지 공영주차장,공영,노외,광주광역시 북구 용봉동 1377-2,17,북구시설관리공단 ,062-524-0825
용봉제1공영주차장,공영,노외,광주광역시 북구 용봉동 1228-1,14,북구시설관리공단 ,062-524-0825
용봉제3공영주차장,공영,노외,광주광역시 북구 양산동 343-1,75,북구시설관리공단 ,062-524-0825
북구문화센터 공영주차장,공영,노외,광주광역시 북구 우산동 230-1,48,북구시설관리공단 ,062-524-0825
북구우산생활체육관 주차장,공영,노외,광주광역시 북구 우산동 264-18,62,북구시설관리공단 ,062-524-0825
우산공영주차장,공영,노외,광주광역시 북구 중흥동336-3,200,북구시설관리공단 ,062-524-0825
효죽2공영주차장,공영,노외,광주광역시 북구 중흥동845,78,북구시설관리공단 ,062-524-0825
중흥공영주차장,공영,노외,광주광역시 북구 운암동 265,58,북구시설관리공단 ,062-524-0825
운암복합문화체육센터공영주차장,공영,노외,광주광역시 북구 두암동 831-15,17,북구시설관리공단 ,062-524-0825
두암2동공영주차장,공영,노외,광주광역시 북구 오치동 969-3,33,북구시설관리공단 ,062-524-0825
오치공영주차장,민영,노외,두암동 566-8번지,13,,
동광주차장,민영,노외,두암동 566-20번지,47,,
광주병원주차장,민영,노외,두암동 351-3번지,14,,
동하주차장,민영,노외,신안동 117-7번지,26,,
골든주차장,민영,노외,신안동 124-11번지,20,,
선주차장,민영,노외,신안동 2-10번지,28,,
k주차장,민영,노외,양산동 244-6번지,28,,
양산메디컬타워 주차장,민영,노외,양산동 361-35번지,10,,
35번가주차장,민영,노외,용봉동 1226-3번지,12,,
전일주차장,민영,노외,용봉동 1401-2번지,39,,
금광주차장,민영,노외,우산동 207-7번지,22,,
