주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
52,우리마을공동제8호(647-1),노외,지평식,정릉3동 647-1,정릉로12길 12,7,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58731362,127.0185046,2026-02-24
53,우리마을공동제9호(349-19),노외,지평식,성북동 349-19,성북로31가길 5,38,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58731362,127.0185046,2026-02-24
54,우리마을제24호(종암로36가길7-3,노외,지평식,하월곡동 90-30,종암로36가길7-3,4,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60555499,127.0337539,2026-02-24
55,우리마을제26호(장위동64-127),노외,지평식,장위동 64-127,장위동64-127,3,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61131055,127.0561363,2026-02-24
56,월곡 2차 SH-vill,노외,지평식,하월곡동 226-1,회기로5길 142,25,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,554602,313385,2026-02-24
57,월곡 두산아파트,노외,지평식,하월곡동 222,오패산로 46,38,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60520366,127.039397,2026-02-24
58,월곡로 14길(동청사부지(공동33),노외,지평식,하월곡동 34,월곡로 14길,67,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60054401,127.041463,2026-02-24
59,월곡로 39-1(친환경공동(8-255),노외,지평식,종암동 8-18,월곡로 39-1,8,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58731362,127.0185046,2026-02-24
60,월곡SH3차,노외,지평식,하월곡동 225,오패산로90,20,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61192597,127.0379219,2026-02-24
61,장월 SH-vill,노외,지평식,장위동 316-2,한천로101길 54,17,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.62246349,127.0478247,2026-02-24
62,장월로1길 28(동아에코빌아파트,노외,건축식,상월곡동 101,장월로1길 28,30,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60801947,127.0462355,2026-02-24
63,장위동산3-92(경로당부설주차장),노외,지평식,장위동산3-92,장위동산3-92,7,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61169206,127.0434573,2026-02-24
64,장위로 16길(제3공동(231-535),노외,지평식,장위동 231,장위로 16길,13,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61187544,127.042028,2026-02-24
65,장위로 21나길(제4공동(230-16),노외,지평식,장위동 230,장위로 21나길,14,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61538346,127.0445383,2026-02-24
66,장위로 40길 61(성광교회뒤(공동,노외,지평식,장위동 68-1109,장위로 40길 61,18,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61108197,127.0524636,2026-02-24
67,장위로17길4(예담빌 부설주차장),노외,지평식,장위동 230-78,장위로17길4,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61427037,127.0418482,2026-02-24
68,장위로21길(제6공동)283-40,노외,지평식,"장위동 234-10,283-40",장위로21길,14,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61485585,127.0459198,2026-02-24
69,장위로21다길(제5공동(230-157),노외,지평식,장위동 230,장위로21다길,10,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61504051,127.0448569,2026-02-24
70,장위로21다길55(제7공동),노외,지평식,장위동234-4,장위로21다길55,17,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61612165,127.0461414,2026-02-24
71,장위초교 부설(야간전용),노외,건축식,장위동 68-8,장월로8가길 41,18,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.6114417,127.0500057,2026-02-24
72,정릉로 199(정릉희망하우징),노외,지평식,정릉동 1036,정릉로 199,10,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58731362,127.0185046,2026-02-24
73,정릉로 21길 29-5(성원@(공동383,노외,지평식,정릉동 385-9,정릉로 21길 29-5,4,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.6071503,127.0079997,2026-02-24
74,정릉로36길(공동열린산부인과),노외,지평식,정릉동 14-18,정릉로36길,2,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60238261,127.016947,2026-02-24
75,종암래미안 2차(세레니티),노외,지평식,종암동 133,종암로23길 35,10,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59816434,127.0297499,2026-02-24
76,종암래미안3차(라센트),노외,지평식,종암동 134,종암로24가길 80,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60104398,127.0388138,2026-02-24
77,종암래미안3차(라센트),노외,지평식,종암동 70-51,종암로 21가길 29,12,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59860938,127.0324802,2026-02-24
78,친환경테마공동(133-91),노외,지평식,석관동 129-41,한천로80길 43-13,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58731362,127.0185046,2026-02-24
79,한천로 79길 34-7(석관초교공동(,노외,지평식,석관동 213-1,한천로 79길 34-7,16,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58731362,127.0185046,2026-02-24
80,행복누림부설(장위로21다길53),노외,건축식,장위동 224-12,장위로21다길53,13,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61590328,127.0458326,2026-02-24
81,화랑로 119-3(공동주차장(10-15),노외,지평식,하월곡동 10-14,화랑로 119-3,13,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60464508,127.0442189,2026-02-24
82,화랑로187(베이비부설주차장),노외,지평식,상월곡동 23-24,화랑로187,8,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60803102,127.0510205,2026-02-24
83,SH장위다경빌(장위로21길49),노외,지평식,장위동 234-97,장위로21길49,15,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.6149663,127.0457188,2026-02-24
84,동암교회부설주차장,노외,지평식,안암동2가 96-4,고려대로17가길12,13,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.587349,127.025054,2026-02-24
85,정릉정원교회부설주차장,노외,지평식,솔샘로6가길 46,정릉3동 685-139,8,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.611172,127.006885,2026-02-24
86,장위영천교회부설주차장,노외,지평식,장위로34,장위동 231-46,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.614296,127.040455,2026-02-24
87,월곡새샘교회부설주차장,노외,지평식,오패산로98-18,하월곡동 225-8,3,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61175,127.036026,2026-02-24
88,석관고등학교부설주차장,노외,지평식,한천로70길30,석관동 77-1,30,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.610211,127.066445,2026-02-24
89,행복기숙사부설주차장,노외,지평식,동소문로13길73,동소문동6가 261-2,10,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.594461,127.012832,2026-02-24
90,성미관부설주차장,노외,지평식,보문로34가길17,동선동3가 237 ,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59272,127.019794,2026-02-24
91,열린산부인과부설주차장,노외,지평식,정릉로36길 28-5,정릉동 14-18 ,8,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.602625,127.016893,2026-02-24
92,동인하우스부설주차장,노외,지평식,개운사2길 31,안암동5가 151-14,2,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.589475,127.028035,2026-02-24
93,보문제일교회부설주차장,노외,지평식,보문로13길 45,보문동6가 154-2 ,20,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.579618,127.019503,2026-02-24
94,형지리버빌부설주차장,노외,지평식,정릉로21길62-4,정릉동 392-33,4,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.608202,127.008015,2026-02-24
95,소망빌부설주차장,노외,지평식,장위로101,장위동 238-204,2,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61404,127.047892,2026-02-24
96,안암동 주민센터 제2주차장,노외,지평식,고려대로 16,안암동2가140-4,8,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.585952,127.021383,2026-02-24
97,우리마을공동제31호,노외,지평식,정릉동 132-33,정릉로36길 44-3,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.602425,127.01614,2026-02-24
98,우리마을공동제32호,노외,지평식,석관동133-38,석관동133-38,4,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.613162,127.063537,2026-02-24
99,우리마을공동제33호,노외,지평식,화랑로 11,하월곡동67-55,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.603224,127.033885,2026-02-24
100,우리마을공동제34호,노외,지평식,성북로6길,성북동 184-25,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.590292,127.004936,2026-02-24
101,우리마을공동제35호,노외,지평식,화랑로42길 52-25,석관동 168-15,2,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.613571,127.06354,2026-02-24
102,우리마을공동제36호,노외,지평식,장위동225-86,장위동225-86,4,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61412788,127.0444385,2026-02-24
103,우리마을공동제37호,노외,지평식,상월곡동78-5,장월로1마길40,4,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60600363,127.0430607,2026-02-24
104,우리마을공동제38호,노외,지평식,안암동 3가 110-17,안암로5길 60-3,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58180732,127.0231048,2026-02-24
